row_id,date,customer_name,material_code,material_description,pick_qty,pick_uom,menu_type
109,2025-05-08,BAN1,602480,Tawa Paratha,80.0,EA,BQT LUNCH
110,2025-05-08,AMA6,600830,Egg Curry,6.33,KG,LUNCH
111,2025-05-08,AMA6,601729,Murgh Tikka_Cbl,14.77,KG,LUNCH
112,2025-05-08,AUT25,611996,Kosha Mangsho ( Bengali Chicken),4.0,KG,DINNER
113,2025-05-08,BAN1,601694,Murgh Makhani Cf_Cbl,2.4,KG,BQT LUNCH
114,2025-05-08,D.E7,612452,Dhaniwal Murgh,21.85,KG,LUNCH
115,2025-05-08,Gle0,601717,Murgh Saagwala  _Cbl,14.2,KG,LUNCH
116,2025-05-08,Gle0,601735,Murgh Tikka Makhani _Cbl,14.2,KG,LUNCH
117,2025-05-08,Gre3,600840,Egg Roast Masala,60.0,KG,DINNER
118,2025-05-08,Gre3,601463,Malabar Egg Curry,30.0,KG,LUNCH
119,2025-05-08,HP 15,601057,Guntur Chicken Curry_Bone,3.0,KG,LUNCH
120,2025-05-08,HP 15,601718,Murgh Saagwala _Bone,1.95,KG,LUNCH
121,2025-05-08,HP 15,611523,Home Style Chicken Curry,2.8,KG,DINNER
122,2025-05-08,HP 16,601057,Guntur Chicken Curry_Bone,3.0,KG,LUNCH
123,2025-05-08,HP 16,601718,Murgh Saagwala _Bone,1.95,KG,LUNCH
124,2025-05-08,HP 16,611523,Home Style Chicken Curry,2.68,KG,DINNER
125,2025-05-08,Ind4,602470,Tangdi Kabab_Drumstick,2.0,KG,LUNCH
126,2025-05-08,Ind4,611655,Bengali Fish Paturi,2.0,EA,LUNCH
127,2025-05-08,McK8,611655,Bengali Fish Paturi,5.0,EA,LUNCH
128,2025-05-08,Mot17,601795,Nellore Chicken Curry_Bone,6.96,KG,LUNCH
129,2025-05-08,NUT18,600306,Butter Chicken _Bone,0.0,KG,LUNCH
130,2025-05-08,Nik19,600957,Goan Fish Curry -Cf,7.0,KG,LUNCH
131,2025-05-08,Nik19,601746,Murgh Tikka _Bone,7.0,KG,LUNCH
132,2025-05-08,PEG9,601463,Malabar Egg Curry,7.2,KG,LUNCH
133,2025-05-08,Pho10,601693,Murgh Kolhapuri Masala-Cf_Bone,138.51,KG,LUNCH
134,2025-05-08,Pos20,601358,Kozhi Varutha Curry_Cbl,4.0,KG,LUNCH
135,2025-05-08,Pos20,602865,Egg Nilgiri Kurma - Bqt,4.0,KG,LUNCH
136,2025-05-08,RUB21,600306,Butter Chicken _Bone,24.94,KG,LUNCH
137,2025-05-08,RUB21,601521,Masala Akuri,9.89,KG,LUNCH
138,2025-05-08,RUB21,601781,Mutton Sukka,26.66,KG,LUNCH
139,2025-05-08,RUB21,611372,Kashmiri Mutton Curry,23.92,KG,DINNER
140,2025-05-08,RUB21,611374,Murgh Kurchan,24.96,KG,DINNER
141,2025-05-08,SYN23,601521,Masala Akuri,24.85,KG,LUNCH
142,2025-05-08,THE24,601794,Nellore Chicken Curry_Cbl,15.0,KG,LUNCH
143,2025-05-08,THE24,611523,Home Style Chicken Curry,16.6,KG,LUNCH
144,2025-05-08,UBE12,600839,Egg Roast,24.0,KG,BREAKFAST
145,2025-05-08,UBE12,600839,Egg Roast,27.2,KG,LUNCH
146,2025-05-08,UBE12,611367,Andhra Fish Curry,55.5,KG,BREAKFAST
147,2025-05-08,UBE12,611367,Andhra Fish Curry,62.9,KG,LUNCH
148,2025-05-08,WES26,600021,Alleppey Fish Curry - Basa Fish,0.0,KG,LUNCH
149,2025-05-08,Xia13,600840,Egg Roast Masala,25.65,KG,LUNCH
150,2025-05-08,AMA6,600131,Arhar Dal Lasooni Tadka_Cf_L,175.13,KG,LUNCH
151,2025-05-08,AMA6,601189,Kadi Pakodi,156.14,KG,LUNCH
152,2025-05-08,AMA6,601206,Kala Sukha Channa Masala,54.86,KG,LUNCH
153,2025-05-08,AMA6,602208,Sabudana Khichdi,118.8,KG,BREAKFAST
154,2025-05-08,AMA6,602601,Turai Ki Mutter Subzi,156.14,KG,LUNCH
155,2025-05-08,AUT25,600007,Achari Bhindi Masala_Cf,2.0,KG,DINNER
156,2025-05-08,AUT25,602579,Toor Dal Tadka,2.0,KG,DINNER
157,2025-05-08,BAN1,600762,Dal Makhani - B Q T,4.0,KG,BQT LUNCH
158,2025-05-08,BAN1,601304,Khatta Meetha Baingan,4.0,KG,BQT LUNCH
159,2025-05-08,BAN1,601920,Paneer Butter Masala - B Q T,4.0,KG,BQT LUNCH
160,2025-05-08,BAN1,611726,Malai Methi Mutter,1.2,KG,BQT LUNCH
161,2025-05-08,BAN1,611734,Mix Dal,1.2,KG,BQT LUNCH
162,2025-05-08,Boe2,600779,Dalcha,93.5,KG,LUNCH
163,2025-05-08,Boe2,601618,Mirch Ka Salan - Cf,93.5,KG,LUNCH
164,2025-05-08,Boe2,602308,Soya Mutter - Cost Food,102.0,KG,LUNCH
165,2025-05-08,D.E7,600761,Dal Makhani,18.17,KG,LUNCH
166,2025-05-08,D.E7,602302,Soya Capsicum Dry,13.34,KG,LUNCH
167,2025-05-08,FAI14,600007,Achari Bhindi Masala_Cf,6.0,KG,DINNER
168,2025-05-08,FAI14,600761,Dal Makhani,60.0,KG,LUNCH
169,2025-05-08,FAI14,600813,Dum Aloo Kashmiri - Cost Food,49.8,KG,LUNCH
170,2025-05-08,FAI14,601939,Paneer Makhani - Cost Food,7.2,KG,DINNER
171,2025-05-08,FAI14,602579,Toor Dal Tadka,6.0,KG,DINNER
172,2025-05-08,FAI14,611384,Kaddu Ki Subzi,34.8,KG,LUNCH
173,2025-05-08,Gle0,600102,Aloo Posto - Cost Food,11.8,KG,LUNCH
174,2025-05-08,Gle0,602406,Subzi Nizami Hundi,11.8,KG,LUNCH
175,2025-05-08,Gle0,602602,Turai Ki Sabzi,11.8,KG,LUNCH
